trade_date,direction,signal_close,buy_stop_order,sell_stop_order,entry_time,exit_time,entry_price,exit_price,stop_price,target_price,stop_pips,result_pips,outcome,pnl_usd,R,cum_pnl_usd,equity_usd,drawdown_pct
2026-01-02,short,1.17368,1.1742668200000002,1.17309318,2026-01-02 08:06:00,2026-01-02 08:07:00,1.17299318,1.1732103,1.1731103,1.1724063599999999,1.171199999999999,-2.171200000000706,stop,-2.171200000000706,-1.8538251366126264,-2.171200000000706,997.8287999999993,0.0
2026-01-05,long,1.16848,1.1691873586,1.1677726414,2026-01-05 08:23:00,2026-01-05 08:25:00,1.1692873585999999,1.169046181,1.169146181,1.1699947171999998,1.411775999999996,-2.4117759999997546,stop,-2.4117759999997546,-1.7083276667118308,-4.5829760000004605,995.4170239999995,-0.0024170238421659107
2026-01-06,long,1.17274,1.1735796191699999,1.17190038083,2026-01-06 08:16:00,2026-01-06 08:18:00,1.1736796191699999,1.1734120444499998,1.1735120444499998,1.1745192383399998,1.6757471999999922,-2.6757472000005222,stop,-2.6757472000005222,-1.5967487220032561,-7.258723200000983,992.741276799999,-0.005098593265698836
2026-01-07,short,1.16852,1.1694595332115,1.1675804667885,2026-01-07 08:16:00,2026-01-07 08:17:00,1.1674804667885,1.1677679827724998,1.1676679827724998,1.1665409335769998,1.8751598399999938,-2.8751598399989753,stop,-2.8751598399989753,-1.533287871608313,-10.133883039999958,989.86611696,-0.007980009236052688
2026-01-08,short,1.1678,1.168763985050925,1.1668360149490749,2026-01-08 13:35:00,2026-01-08 13:36:00,1.1667360149490749,1.167028411133875,1.166928411133875,1.1657720298981498,1.9239618480000007,-2.923961848000367,stop,-2.923961848000367,-1.5197608263593625,-13.057844888000325,986.9421551119997,-0.010910333403886141
2026-01-09,short,1.16492,1.1659329477983786,1.1639070522016213,2026-01-09 10:25:00,2026-01-09 10:26:00,1.1638070522016213,1.1641092205771812,1.1640092205771813,1.1627941044032426,2.021683755599992,-3.0216837555996356,stop,-3.0216837555996356,-1.494637203880023,-16.07952864359996,983.9204713564001,-0.013938592114798865
2026-01-12,long,1.1686,1.169640856738037,1.1675591432619632,2026-01-12 13:47:00,2026-01-12 13:52:00,1.169740856738037,1.169433118179094,1.169533118179094,1.1707817134760738,2.0773855894289897,-3.0773855894294933,stop,-3.0773855894294933,-1.481374283661693,-19.156914233029454,980.8430857669705,-0.0170226738625191
2026-01-13,short,1.1665,1.1676732774011351,1.165326722598865,2026-01-13 12:58:00,2026-01-13 12:59:00,1.165226722598865,1.1655608902298609,1.1654608902298609,1.16405344519773,2.3416763099575433,-3.341676309958075,stop,-3.341676309958075,-1.4270445047200664,-22.49859054298753,977.5014094570124,-0.020371621407386686
2026-01-14,long,1.16459,1.1658077880310782,1.1633722119689218,2026-01-14 12:59:00,2026-01-14 13:04:00,1.1659077880310782,1.1655647367816322,1.1656647367816322,1.1671255760621564,2.430512494459672,-3.430512494460025,stop,-3.430512494460025,-1.4114358606589525,-25.929103037447554,974.0708969625524,-0.023809598437574575
2026-01-15,short,1.16295,1.1641694286295243,1.1617305713704755,2026-01-15 13:31:00,2026-01-15 13:41:00,1.1616305713704755,1.1605111427409511,1.1618739500574493,1.1604111427409511,2.433786869736695,11.194286295244105,target,11.194286295244105,4.599534344786396,-14.73481674220345,985.2651832577966,-0.01259095422200951
